"Equip ID(Hex)","Equipment Type"
"116","Eng Interface Vibration Monitoring Unit (A330/A340)"
"117","Engine Control Unit Channel A (A330/A340) "
"118","Engine Control Unit Channel B (A330/A340)"
"119","Centralized Maintenance Computer (A330/A340)"
"11A","Multi-Disk Drive Unit (A330/A340)"
"11B",
"11C",
"11D",
"11E","Integrated Static Probe"
"11F",
"120","Multifunction Air Data Probe"
"121",
"122","Ground Auxiliary Power Unit (A320/319/321)"
"123","Ground Power Control Unit (A330/A340)"
"124","Fuel Management Computer (A330/A340)"
"125","Center of Gravity Fuel Control Comp.(A330/A340)"
"126","Circuit breakers Monitoring Unit (A330/A340)"
"127","Electrical Contractor Management Unit (A330/A340)"
"128","Hydraulic Electrical Generator Control Unit (A330/A340)"
"129","Hydraulic System Monitoring Unit (A330/A340)"
"12A","Cargo Bay Conditioning Card (B747)"
"12B","Predictive Windshear System Sensor"
"12C","Angle of Attack Sensor"
"12D","Logic Drive Control Computer (B747/B767)"
"12E","Cargo Control Logic Unit (B767)"
"12F","Cargo Electronics Interface Unit (B767)"
"130","Load Management Unit (LMU) Airbus"
"131",
"132",
"133",
"134",
"135",
"136","Audio Management System"
"137",
"138",
"139",
"13A","Full Authority Engine Control (P&W)"
"13B","Audio Entertainment System (AES) Controller (Boeing)"
"13C","Boarding Music Machine (B777)"
"13D","Passenger In Flight Info Unit (Airshow)"
"13E","Video Interface Unit (B777)"
"13F","Camera Interface Unit (A340/B777)"
"140","Supersonic Air Data Computer"
"141","Satellite RF Unit"
"142","ADS-B Link Display Processor Unit (LPDU)"
"143","Vertical/Horizontal Gyro"
"144","CDTI Display Unit"
"145",
"146",
"147",
"148",
"149",
"14A","Slide Slip Angle (SSA)"
"14B",
"14C",
"14D",
"14E",
"14F",
"150","AIMS Gen. Pur. Bus #1 (B777)"
"151","AIMS Gen. Pur. Bus #2 (B777)"
"152","AIMS Digital Comm. Mgmt. (B777)"
"153","AIMS Gen. Pur. Bus #3 (B777)"
"154","Central Maintenance Computer (B-777)"
"155","AIMS EFIS Control Panel (B777)"
"156","AIMS Display Unit (B777)"
"157","AIMS Cursor Control Device (B777)"
"158","AIMS General Purpose Bus #4"
"159",
"15A","Flight Data Interface Unit (A330/A340)"
"15B","Flight Control Unit (A330/A340)"
"15C","Flight Control Primary Computer (A330/A340)"
"15D","Flight Control Secondary Computer (A330/A340)"
"15E","Flight Mgmt Guidance Env Comp (A330/A340)"
"15F",
"160","Special Fuel Quan. Sys. (Boeing)"
"161",
"162",
"163",
"164",
"165",
"166",
"167","Air Traffic Service Unit (Airbus)"
"168","Integ Standby Instr System (A340/330,A320/319/321)"
"169","Data Link Control and Display Unit (A340/330)"
"16A","Display Unit (A330/A340)"
"16B","Display Management Computer (A330/A340)"
"16C","Head-Up Display Computer (A330/A340)"
"16D","ECAM Control Panel (A330/A340)"
"16E","Clock (A330/A340)"
"16F","Cabin Interphone System (B777)"
"170","Radio Tuning Panel (B777)"
"171","Electronic Flight Bag"
"172",
"173",
"174",
"175",
"176",
"177",
"178",
"179",
"17A","Cabin Ventilation Controller (A330/A340)"
"17B","Smoke Detection Control Unit (A330/A340)"
"17C","Proximity Sensor Control Unit (A330/A340)"
"17D",
"17E",
"17F",
"180",
"181",
"182",
"183",
"184",
"185",
"186",
"187",
"188",
"189",
"18A","Audio Control Panel (A330/A340)"
"18B","Cockpit Voice recorder (A330/A340)"
"18C","Passenger Entertainment Sys Main MUX (A330/A340)"
"18D","Passenger Entertainment Sys Audio Repro.(A330/A340)"
"18E","Pre-recorded Announcement Music Repro (A330/A340)"
"18F","Video Control Unit (A330/A340)"
"19F","Cade Environment System"
"1E2","ADS-B LDPU Controller"
"200","Versatile Integrated Avionics Unit (B717/MD-10)"
"201","Electronic Spoiler Control Unit (B717)"
"202","Brake Control Unit (B717)"
"203","Pneumatic Overheat Detection Unit (B717)"
"204","Proximity Switch Electronics Unit (B717)"
"205","APU Electronic Control Unit (B717)"
"206","Aircraft Interface Unit (MD-10)"
"207","Fuel Quantity Gauging Unit (MD-10)"
,
,
,
,
,
"241","High Power Amplifier"
,
,
,
,
,
,
"341","Satellite ACU"
