"Code No. (Octal)",,,"Eqpt. ID (Hex)",,,"Transmission Order Bit Position",,,,,,,,"Parameter","Data",,,,"Notes & Cross Ref. to Tables in Att. 6"
"0    2     6 ",,,0,0,3,0,0,0,1,0,1,1,0,"Selected Airspeed",,"X",,,"6-25"
,,,0,2,0,0,0,0,1,0,1,1,0,"Selected Airspeed","X",,,,
,,,0,"A",1,0,0,0,1,0,1,1,0,"Selected Airspeed",,"X",,,
"0    2    7",,,0,0,2,0,0,0,1,0,1,1,1,"TACAN Selected Course",,"X",,,
,,,0,1,1,0,0,0,1,0,1,1,1,"Selected Course # 2",,"X",,,
,,,0,2,0,0,0,0,1,0,1,1,1,"Selected Course # 2",,"X",,,
,,,0,4,"D",0,0,0,1,0,1,1,1,"Total-FLT Deck (KG)",,"X",,,
,,,0,5,6,0,0,0,1,0,1,1,1,"TACAN Selected Course",,"X",,,
,,,0,6,0,0,0,0,1,0,1,1,1,"TACAN Selected Course ",,"X",,,
,,,0,"A",1,0,0,0,1,0,1,1,1,"Selected Course # 2",,"X",,,
,,,0,"B",1,0,0,0,1,0,1,1,1,"Selected Course # 2",,"X",,,
"0    3     0",,,0,2,0,0,0,0,1,1,0,0,0,"VHF COM Frequency",,"X",,,"6-45"
,,,0,2,4,0,0,0,1,1,0,0,0,"VHF COM Frequency",,"X",,,
,,,0,4,"D",0,0,0,1,1,0,0,0,"TNK-LD SEL (KG)",,"X",,,
,,,0,"B",6,0,0,0,1,1,0,0,0,"VHF COM Frequency",,"X",,,"6-45"
"0     3     1",,,0,2,0,0,0,0,1,1,0,0,1,"Beacon Transponder Code",,,"X",,"6-46"
,,,0,"B",8,0,0,0,1,1,0,0,1,"Beacon Transponder Code",,,"X",,
"0     3     2",,,0,1,2,0,0,0,1,1,0,1,0,"ADF Frequency",,"X",,,"6-40"
,,,0,2,0,0,0,0,1,1,0,1,0,"ADF Frequency",,"X",,,"6-40"
,,,0,"B",2,0,0,0,1,1,0,1,0,"ADF Frequency",,"X",,,"6-40"
"0    3     3",,,0,0,2,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,"6-44"
,,,0,1,0,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,
,,,0,2,0,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,
,,,0,5,5,0,0,0,1,1,0,1,1,"Landing System Mode/Frequency",,"X",,,"Note 3"
,,,0,5,6,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,
,,,0,6,0,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,
,,,0,"B",0,0,0,0,1,1,0,1,1,"ILS Frequency",,"X",,,
"0    3    4",,,0,0,2,0,0,0,1,1,1,0,0,"VOR/ILS Frequency",,"X",,,"6-44-1"
,,,0,0,6,0,0,0,1,1,1,0,0,"Baro Correction (mb) #3",,"X",,,
,,,0,1,1,0,0,0,1,1,1,0,0,"VOR/ILS Frequency",,"X",,,
,,,0,2,0,0,0,0,1,1,1,0,0,"VOR/ILS Frequency",,"X",,,
,,,0,2,5,0,0,0,1,1,1,0,0,"VOR/ILS Frequency",,"X",,,
,,,0,5,6,0,0,0,1,1,1,0,0,"VOR/ILS Frequency",,"X",,,
,,,0,6,0,0,0,0,1,1,1,0,0,"VOR/ILS Frequency #1",,"X",,,
,,,0,"B",0,0,0,0,1,1,1,0,0,"VOR/ILS Frequency ",,"X",,,
"0    3     5",,,0,0,2,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,"6-41"
,,,0,0,6,0,0,0,1,1,1,0,1,"Baro Correction (ins of Hg) #3",,"X",,,
,,,0,0,9,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,"6-41"
,,,0,2,0,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,
,,,0,2,5,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,
,,,0,5,5,0,0,0,1,1,1,0,1,"Paired DME Frequency",,"X",,,
,,,0,5,6,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,
,,,0,6,0,0,0,0,1,1,1,0,1,"DME Frequency #1",,"X",,,
,,,0,"A",9,0,0,0,1,1,1,0,1,"DME Frequency",,"X",,,
"0     3    6",,,0,0,2,0,0,0,1,1,1,1,0,"MLS Frequency",,"X",,,
,,,0,2,0,0,0,0,1,1,1,1,0,"MLS Frequency",,"X",,,
,,,0,5,5,0,0,0,1,1,1,1,0,"MLS Channel Selection",,"X",,,
,,,0,5,6,0,0,0,1,1,1,1,0,"MLS Frequency Channel",,"X",,,
,,,0,6,0,0,0,0,1,1,1,1,0,"MLS Frequency Channel",,"X",,,
,,,0,"C",7,0,0,0,1,1,1,1,0,"MLS Frequency",,"X",,,
"0     3    7",,,0,0,2,0,0,0,1,1,1,1,1,"HF COM Frequency",,"X",,,"6-42"
,,,0,"B",9,0,0,0,1,1,1,1,1,"HF COM Frequency",,"X",,,
"0     4      0",,,0,,,0,0,1,0,0,0,0,0,"Spare",,,,,
"0     4     1",,,0,0,2,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
,,,0,0,4,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
,,,0,2,0,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
,,,0,5,6,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
,,,0,6,0,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
,,,0,"A",4,0,0,1,0,0,0,0,1,"Set Latitude",,"X",,,
"0     4     2",,,0,0,2,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
,,,0,0,4,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
,,,0,2,0,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
,,,0,5,6,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
,,,0,6,0,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
,,,0,"A",4,0,0,1,0,0,0,1,0,"Set Longitude",,"X",,,
"0     4     3",,,0,0,2,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
,,,0,0,4,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
,,,0,2,0,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
,,,0,5,6,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
,,,0,6,0,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
,,,0,"A",4,0,0,1,0,0,0,1,1,"Set Magnetic Heading",,"X",,,
"0     4     4",,,0,0,4,0,0,1,0,0,1,0,0,"True Heading",,"X",,,
,,,0,3,8,0,0,1,0,0,1,0,0,"True Heading",,"X",,,
"0     4      5",,,0,0,3,0,0,1,0,0,1,0,1,"Minimum Airspeed",,"X",,,
"0     4      6",,,0,3,3,0,0,1,0,0,1,1,0,"Engine Serial No. (LSDs)",,"X",,,"6-15"
,,,1,0,"A",0,0,1,0,0,1,1,0,"Engine Serial No. (LSDs)",,"X",,,"6-15"
,,,1,0,"B",0,0,1,0,0,1,1,0,"Engine Serial No. (LSDs)",,"X",,,"6-15"
"0    4      7",,,0,2,0,0,0,1,0,0,1,1,1,"VHF COM Frequency",,"X",,,
,,,0,2,4,0,0,1,0,0,1,1,1,"VHF COM Frequency",,"X",,,
,,,0,3,3,0,0,1,0,0,1,1,1,"Engine Serial No. (MSDs)",,"X",,,"6-16"
,,,0,"B",6,0,0,1,0,0,1,1,1,"VHF COM Frequency",,"X",,,
,,,1,0,"A",0,0,1,0,0,1,1,1,"Engine Serial No. (MSDs)",,"X",,,"6-16"
,,,1,0,"B",0,0,1,0,0,1,1,1,"Engine Serial No. (MSDs)",,"X",,,"6-16"
"0     5      0",,,0,,,0,0,1,0,1,0,0,0,"Spare",,,,,
"0     5      1",,,0,,,0,0,1,0,1,0,0,1,"Spare",,,,,
"0     5      2",,,0,0,4,0,0,1,0,1,0,1,0,"Body Pitch Acceleration","X",,,,
,,,0,3,7,0,0,1,0,1,0,1,0,"Longitude Zero Fuel CG",,"X",,,
,,,0,3,8,0,0,1,0,1,0,1,0,"Body Pitch Acceleration","X",,,,
"0     5      3",,,0,0,4,0,0,1,0,1,0,1,1,"Body Roll Acceleration","X",,,,
,,,0,0,5,0,0,1,0,1,0,1,1,"Track Angle - Magnetic",,"X",,,
,,,0,3,8,0,0,1,0,1,0,1,1,"Body Roll Acceleration","X",,,,
"0     5      4",,,0,0,4,0,0,1,0,1,1,0,0,"Body Yaw Acceleration","X",,,,
,,,0,3,7,0,0,1,0,1,1,0,0,"Zero Fuel Weight (KG)","X",,,,
,,,0,3,8,0,0,1,0,1,1,0,0,"Body Yaw Acceleration","X",,,,
"0     5      5",,,0,,,0,0,1,0,1,1,0,1,"Spare",,,,,
"0     5      6",,,0,0,2,0,0,1,0,1,1,1,0,"Estimated Time of Arrival",,"X",,,
,,,0,0,5,0,0,1,0,1,1,1,0,"Wind Direction - Magnetic",,"X",,,
,,,0,3,7,0,0,1,0,1,1,1,0,"Gross Weight (KG)",,"X",,,
,,,0,5,6,0,0,1,0,1,1,1,0,"ETA (Active Waypoint)",,"X",,,
,,,0,6,0,0,0,1,0,1,1,1,0,"ETA (Active Waypoint)",,"X",,,
"0     5       7",,,0,,,0,0,1,0,1,1,1,1,"Spare",,,,,
"0     6       0",,,0,2,5,0,0,1,1,0,0,0,0,"S/G Hardware Part No",,"X",,,"6-36"
,,,0,3,7,0,0,1,1,0,0,0,0,"Tire Loading (Left Body Main)",,"X",,,
,,,0,3,"C",0,0,1,1,0,0,0,0,"Tire Pressure (Left Inner)","X",,,,
"0     6      1",,,0,0,2,0,0,1,1,0,0,0,1,"ACMS Information","X",,,,"6-29"
,,,0,0,"B",0,0,1,1,0,0,0,1,"Pseudo Range","X",,,,
,,,0,2,5,0,0,1,1,0,0,0,1,"S/G Software Configuration Part No.",,"X",,,"6-37"
,,,0,3,7,0,0,1,1,0,0,0,1,"Tire Loading (Right Body Main)",,"X",,,
,,,0,3,"C",0,0,1,1,0,0,0,1,"Tire Pressure (Left Outer)","X",,,,
,,,0,5,6,0,0,1,1,0,0,0,1,"ACMS Information","X",,,,
,,,0,6,0,0,0,1,1,0,0,0,1,"ACMS Information","X",,,,
"0     6      2",,,0,0,2,0,0,1,1,0,0,1,0,"ACMS Information","X",,,,"6-29"
,,,0,0,"B",0,0,1,1,0,0,1,0,"Pseudo Range Fine","X",,,,
,,,0,3,7,0,0,1,1,0,0,1,0,"Tire Loading (Left Wing Main)",,"X",,,
,,,0,3,"C",0,0,1,1,0,0,1,0,"Tire Pressure (Right Inner)","X",,,,
,,,0,5,6,0,0,1,1,0,0,1,0,"ACMS Information","X",,,,
,,,0,6,0,0,0,1,1,0,0,1,0,"ACMS Information","X",,,,
"0     6      3",,,0,0,2,0,0,1,1,0,0,1,1,"ACMS Information","X",,,,"6-29"
,,,0,0,"B",0,0,1,1,0,0,1,1,"Range Rate","X",,,,
,,,0,3,7,0,0,1,1,0,0,1,1,"Tire Loading (Right Wing Main)",,"X",,,
,,,0,3,"C",0,0,1,1,0,0,1,1,"Tire Pressure (Right Outer)","X",,,,
,,,0,5,6,0,0,1,1,0,0,1,1,"ACMS Information","X",,,,
,,,0,6,0,0,0,1,1,0,0,1,1,"ACMS Information","X",,,,
"0     6      4",,,0,0,"B",0,0,1,1,0,1,0,0,"Delta Range","X",,,,
,,,0,3,7,0,0,1,1,0,1,0,0,"Tire Loading (Nose)",,"X",,,
,,,0,3,"C",0,0,1,1,0,1,0,0,"Tire Pressure (Nose)","X",,,,
"0     6     5",,,0,0,3,0,0,1,1,0,1,0,1,"Gross Weight ",,"X",,,
,,,0,0,"B",0,0,1,1,0,1,0,1,"SV Position X","X",,,,
,,,0,3,7,0,0,1,1,0,1,0,1,"Gross Weight",,"X",,,
"0     6      6",,,0,0,2,0,0,1,1,0,1,1,0,"Longitudinal Center of Gravity",,"X",,,
,,,0,0,"B",0,0,1,1,0,1,1,0,"SV Position X Fine","X",,,,
,,,0,3,7,0,0,1,1,0,1,1,0,"Longitudinal Center of Gravity",,"X",,,
"0     6      7",,,0,3,7,0,0,1,1,0,1,1,1,"Lateral Center of Gravity",,"X",,,
"0     7      0",,,0,0,2,0,0,1,1,1,0,0,0,"Reference Airspeed (Vref)","X",,,,
,,,0,0,"B",0,0,1,1,1,0,0,0,"SV Position Y","X",,,,
,,,0,2,9,0,0,1,1,1,0,0,0,"AC Frequency (Engine)","X",,,,
,,,0,3,7,0,0,1,1,1,0,0,0,"Hard landing Magnitude #1","X",,,,
,,,0,5,6,0,0,1,1,1,0,0,0,"Reference Airspeed (Vref)","X",,,,
,,,0,6,0,0,0,1,1,1,0,0,0,"Reference Airspeed (Vref)","X",,,,
,,,0,"C","C",0,0,1,1,1,0,0,0,"Brakes - Metered Hydraulic Pressure L (Normal)","X",,,,
"0     7      1",,,0,0,2,0,0,1,1,1,0,0,1,"Take-Off Climb Airspeed (V2)","X",,,,
,,,0,0,"B",0,0,1,1,1,0,0,1,"SV Position Y Fine","X",,,,
,,,0,2,9,0,0,1,1,1,0,0,1,"AC Frequency (Alt. Sources)","X",,,,
,,,0,3,3,0,0,1,1,1,0,0,1,"VBV","X",,,,
,,,0,3,7,0,0,1,1,1,0,0,1,"Hard Landing Magnitude #2","X",,,,
,,,0,"C","C",0,0,1,1,1,0,0,1,"Brakes - Metered Hydraulic Pressure L (Alt)","X",,,,
"0     7      2",,,0,0,2,0,0,1,1,1,0,1,0,"VR (Rotation Speed)","X",,,,
,,,0,0,"B",0,0,1,1,1,0,1,0,"SV Position Z","X",,,,
,,,0,1,"C",0,0,1,1,1,0,1,0,"Stator Vane Angle","X",,,,
,,,0,2,9,0,0,1,1,1,0,1,0,"AC Voltage (Engine)","X",,,,
,,,0,2,"F",0,0,1,1,1,0,1,0,"Stator Vane Angle","X",,,,
,,,0,3,3,0,0,1,1,1,0,1,0,"Stator Vane Angle","X",,,,
,,,0,"C","C",0,0,1,1,1,0,1,0,"Brakes - Metered Hydraulic Pressure R (Normal)","X",,,,
"0     7      3",,,0,0,2,0,0,1,1,1,0,1,1,"V1 (Critical Engine Failure Speed)","X",,,,
,,,0,0,"B",0,0,1,1,1,0,1,1,"SV Position Z Fine","X",,,,
,,,0,1,"C",0,0,1,1,1,0,1,1,"Oil Quantity","X",,,,
,,,0,2,9,0,0,1,1,1,0,1,1,"Oil Quantity","X",,,,
,,,0,"A",2,0,0,1,1,1,0,1,1,"V2 (Critical Engine Failure Speed)","X",,,,
,,,0,"C","C",0,0,1,1,1,0,1,1,"Brakes - Metered Hydraulic Pressure R (Alt.)","X",,,,
,,,0,"D",0,0,0,1,1,1,0,1,1,"Engine Oil Quantity","X",,,,
"0     7      4",,,0,0,2,0,0,1,1,1,1,0,0,"Zero Fuel Weight ","X",,,,
,,,0,0,"B",0,0,1,1,1,1,0,0,"UTC Measure Time","X",,,,
,,,0,2,"C",0,0,1,1,1,1,0,0,"Zero Fuel Weight","X",,,,
,,,0,3,3,0,0,1,1,1,1,0,0,"LP Compressor Bleed Position (3.0)","X",,,,
,,,0,3,7,0,0,1,1,1,1,0,0,"Zero Fuel Weight (lb)","X",,,,
,,,0,5,6,0,0,1,1,1,1,0,0,"Zero Fuel Weight","X",,,,
,,,0,6,0,0,0,1,1,1,1,0,0,"Zero Fuel Weight","X",,,,
,,,1,1,4,0,0,1,1,1,1,0,0,"Zero Fuel Weight","X",,,,
"0     7      5",,,0,0,2,0,0,1,1,1,1,0,1,"Gross Weight","X",,,,
,,,0,0,3,0,0,1,1,1,1,0,1,"Gross Weight","X",,,,
,,,0,0,8,0,0,1,1,1,1,0,1,"Maximum Hazard Alert Level Output",,,"X",,
,,,0,0,"B",0,0,1,1,1,1,0,1,"Geodetic Altitude","X",,,,
,,,0,2,9,0,0,1,1,1,1,0,1,"AC Voltage (Alt. Sources)","X",,,,
,,,0,2,"C",0,0,1,1,1,1,0,1,"Gross Weight","X",,,,
,,,0,3,7,0,0,1,1,1,1,0,1,"Gross Weight","X",,,,
,,,0,3,"E",0,0,1,1,1,1,0,1,"Gross Weight","X",,,,
,,,1,1,4,0,0,1,1,1,1,0,1,"Aircraft Gross Weight","X",,,,
"0     7      6",,,0,0,8,0,0,1,1,1,1,1,0,"Hazard Azimuth Output",,,"X",,
,,,0,0,"B",0,0,1,1,1,1,1,0,"GNSS Altitude (MSL)","X",,,,
,,,0,2,9,0,0,1,1,1,1,1,0,"AC Voltage (Bus Bar)","X",,,,
,,,0,3,7,0,0,1,1,1,1,1,0,"Longitudinal Center of Gravity","X",,,,
,,,0,3,"E",0,0,1,1,1,1,1,0,"Longitudinal Center of Gravity","X",,,,
,,,1,1,4,0,0,1,1,1,1,1,0,"Aircraft Longitudinal Center of Gravity","X",,,,
"0     7      7",,,0,0,2,0,0,1,1,1,1,1,1,"Target Airspeed","X",,,,
,,,0,0,8,0,0,1,1,1,1,1,1,"Hazard Azimuth Output",,,"X",,
,,,0,0,"B",0,0,1,1,1,1,1,1,"GPS Hor/Vert Deviation","X",,,,
,,,0,2,9,0,0,1,1,1,1,1,1,"AC Load (Engine)","X",,,,
,,,0,3,7,0,0,1,1,1,1,1,1,"Lateral Center of Gravity","X",,,,
,,,0,5,6,0,0,1,1,1,1,1,1,"Target Airspeed","X",,,,
,,,0,6,0,0,0,1,1,1,1,1,1,"Target Airspeed","X",,,,
,,,1,1,4,0,0,1,1,1,1,1,1,"Zero Fuel Center of Gravity","X",,,,
"1     0      0",,,0,0,1,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,"6-27"
,,,0,0,2,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,1,1,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,2,0,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,2,9,0,1,0,0,0,0,0,0,"AC Load (Alt. Source)","X",,,,
,,,0,3,7,0,1,0,0,0,0,0,0,"Gross Weight (Kilogram)","X",,,,
,,,0,5,6,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,6,0,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,"A",1,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,"B",1,0,1,0,0,0,0,0,0,"Selected Course #1","X",,,,
,,,0,"B","B",0,1,0,0,0,0,0,0,"Outbound Flaps - PDU","X",,,,
"1     0      1",,,0,0,2,0,1,0,0,0,0,0,1,"Selected Heading","X",,,,"6-27"
,,,0,0,"B",0,1,0,0,0,0,0,1,"HDOP","X",,,,
,,,0,2,0,0,1,0,0,0,0,0,1,"Selected Heading","X",,,,
,,,0,2,5,0,1,0,0,0,0,0,1,"Selected Heading","X",,,,
,,,0,2,9,0,1,0,0,0,0,0,1,"DC Current (TRU)","X",,,,
,,,0,5,"A",0,1,0,0,0,0,0,1,"FQIC","X",,,,
,,,0,"A",1,0,1,0,0,0,0,0,1,"Selected Heading","X",,,,
,,,0,"B","B",0,1,0,0,0,0,0,1,"Inboard Flaps - PDU","X",,,,
,,,1,1,4,0,1,0,0,0,0,0,1,"C/G Target","X",,,,
"1     0      2",,,0,0,2,0,1,0,0,0,0,1,0,"Selected Altitude","X",,,,"6-27"
,,,0,0,"B",0,1,0,0,0,0,1,0,"VDOP","X",,,,
,,,0,2,0,0,1,0,0,0,0,1,0,"Selected Altitude","X",,,,
,,,0,2,9,0,1,0,0,0,0,1,0,"DC Current (Battery)","X",,,,
,,,0,5,6,0,1,0,0,0,0,1,0,"Selected Altitude","X",,,,
,,,0,6,0,0,1,0,0,0,0,1,0,"Selected Altitude","X",,,,
,,,0,"A",1,0,1,0,0,0,0,1,0,"Selected Altitude","X",,,,
"1     0      3",,,0,0,1,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,"6-27"
,,,0,0,2,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,0,3,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,0,"B",0,1,0,0,0,0,1,1,"GNSS Track Angle","X",,,,
,,,0,1,"B",0,1,0,0,0,0,1,1,"Left/PDU Flap","X",,,,
,,,0,2,0,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,2,9,0,1,0,0,0,0,1,1,"DC Voltage (TRU)","X",,,,
,,,0,5,6,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,6,0,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,"A",1,0,1,0,0,0,0,1,1,"Selected Airspeed","X",,,,
,,,0,"B","B",0,1,0,0,0,0,1,1,"Left Outboard Flap Position","X",,,,
"1     0      4",,,0,0,1,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,"6-27"
,,,0,0,2,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,1,"B",0,1,0,0,0,1,0,0,"Right/PDU Flap","X",,,,
