"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"0 6 3","0 0 2","ACMS Information",,,,,,,,,06/29/13
,"0 0 B","Range Rate","M/S"," ?  4096",20,,0.0039,200,1200,,
,"0 3 C","Tire Pressure (Right Outer)             ","PSIA    ",1024,10,,1,50,250,,
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"0 6 4","0 0 B","Delta Range","Meters"," ?  4096",20,,0.0039,200,1200,,
,"0 3 C","Tire Pressure (Nose)                    ","PSIA    ",1024,10,,1,50,250,,
,,,,,,,,,,,
"0 6 5","0 0 B","SV Position X","Meters","?67108864",20,,64,200,1200,,
,,,,,,,,,,,
"0 6 6","0 0 B","SV Position X Fine","Meters",64,14,,0.0039,200,1200,,
,,,,,,,,,,,
"0 7 0","0 0 2","Reference Airspeed (Vref)               ","Knots    ",512,11,,0.25,500,1000,1000,
,"0 0 B","SV Position X","Meters","?67108864",20,,64,200,1200,,
,"0 2 9","AC Frequency (Engine)                   ","Hz       ",512,11,,0.25,100,200,,
,"0 3 7","Hard Landing Magnitude #1               ","Lbs.     ",,12,,"-",100,200,,
,"0 5 6","Reference Airspeed (Vref)","Knots    ",512,11,,0.25,500,1000,1000,
,"0 6 0","Reference Airspeed (Vref)","Knots    ",512,11,,0.25,500,1000,1000,
,"0 C C","Brakes - Metered Hyd. Pres. L (Normal) ","PSIG     ",4096,12,,1,50,100,,"#1 & 2 coded in SDI"
,,,,,,,,,,,
"0 7 1","0 0 2","Take-Off Climb Airspeed (V2)            ","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 B","SV Position Y Fine","Meters",64,14,,0.0039,200,1200,,
,"0 2 9","AC Frequency (Engine)                   ","Hz       ",512,11,,0.25,100,200,,
,"0 3 3","VBV                                     ","Deg      ",64,12,,0.016,150,250,,
,"0 3 7","Hard Landing Magnitude #2               ","Lbs.     ",,12,,"-",100,200,,
,"0 C C","Brakes-Metered Hyd.Pres.L (alt.)    ","PSIG     ",4096,12,,1,50,100,,"#1 & 2 coded in SDI"
,,,,,,,,,,,
,,,,,,,,,,,
"0 7 2","0 0 2","Rotation Speed (VR)                     ","Knots    ",512,11,,0.25,500,1000,1000,"Revised by Supp 11"
,"0 0 B","SV Position Z","Meters","?67108864",20,,64,200,1200,,
,"0 1 C","Stator Vane Angle                       ","Deg/180  ","?180",11,,0.1,100,200,,
,"0 2 9","AC Voltage (Engine)                     ","Volts    ",256,10,,0.25,100,200,,
,"0 2 F","Stator Vane Angle                       ","Deg/180  ","?180",11,,0.1,100,200,,
,"0 3 3","Stator Vane Angle                       ","Deg      ",64,12,,0.016,150,250,,"See Note [4]"
,"0 C C","Brakes-Metered Hyd.Pres.R (normal) ","PSIG     ",4096,12,,1,50,100,,"#1 &2 coded in SDI"
,,,,,,,,,,,
"0 7 3","0 0 2","V1 (critical engine failure speed)      ","Knots    ",512,11,,0.25,100,200,,
,"0 0 B","SV Position Z Fine","Meters",64,14,,0.0039,200,1200,,
,"0 1 C","Oil Quantity                            ","cc       ",32768,8,,128,100,200,,
,"0 2 9","Oil Quantity                            ","US Pint  ",128,9,,0.25,100,200,,
,"0 A 2","V2 (critical engine failure speed)","Knots    ",512,11,,0.25,100,200,,
,"0 C C","Brakes-Metered Hyd.Pres.R (alt.)   ","PSIG     ",4096,12,,1,50,100,,"#1 & 2 coded in SDI"
,"0 D 0","Engine Oil Quantity","US Pint",128,9,,0.25,,,,"SDI 1=L/SDI 2=R"
,,,,,,,,,,,
"0 7 4","0 0 2","Zero Fuel Weight                        ","Lbs.     ",1310720,15,,40,500,1000,1000,
,"0 0 B","UTC Measure Time","Seconds",10,20,,"9.536743?s",200,1200,,
,"0 2 C","Zero Fuel Weight                        ","Lbs.     ",1310720,15,,40,100,400,,
,"0 3 3","LP Compressor Bleed Pos. (3.0)          ","Inches   ",4,10,,0.004,100,200,,"See Note [5]"
,"0 3 7","Zero Fuel Weight (lb)","Lbs.",1310720,15,,40,100,200,,
,"0 5 6","Zero Fuel Weight","Lbs.     ",1310720,15,,40,500,1000,1000,
,"0 6 0","Zero Fuel Weight","Lbs.     ",1310720,15,,40,500,1000,1000,
,"1 1 4","Zero Fuel Weight","Lbs.",1310720,15,,40,100,400,,
,,,,,,,,,,,
"0 7 5","0 0 2","Gross Weight                            ","Lbs.     ",1310720,15,,40,100,200,,
,"0 0 3","Gross Weight                            ","Lbs.     ",1310720,15,,40,100,200,,
,"0 0 B","Geodetic Altitude                       ","Feet     ",131072,17,,1,500,1000,,
,"0 2 9","AC Voltage (Alt. Sources)               ","Volts    ",256,10,,0.25,100,200,,
,"0 2 C","Gross Weight                            ","Lbs.     ",1310720,15,,40,100,200,,
,"0 3 7","Gross Weight                            ","Lbs.     ",1310720,15,,40,100,200,,
,"0 3 E","Gross Weight                            ","Lbs.     ",1310720,15,,40,100,200,,
,"1 1 4","Aircraft Gross Weight","Lbs.",1310720,15,,40,100,400,,
,,,,,,,,,,,
"0 7 6","0 0 B","GPS Height Above Ref.Ellipsoid    ","Feet     ",131072,17,,1,25,50,,
,"0 0 B","GNSS Altitude (Msl)","Feet","?131072",20,,0.125,200,1200,,
,"0 2 9","AC Voltage (Bus Bar)                    ","Volts    ",256,10,,0.25,100,200,,
,"0 3 7","Longitudinal Center of Gravity          ","% MAC    ",163.84,14,,0.01,100,200,,
,"0 3 E","Longitudinal Center of Gravity          ","%        ",164,14,,0.01,100,200,,
,"1 1 4","Aircraft Longitudinal Center of Gravity","Percent",163.84,14,,0.01,100,200,,
,,,,,,,,,,,
"0 7 7","0 - -","Lateral Center of Gravity               ","MLb-in   ",128,17,,0.001,100,200,,
,"0 0 2","Target Airspeed                         ","Knots    ",512,11,,0.25,100,200,,
,"0 0 B","GPS Hor/Vert Deviation                  ","% F.S.   ",128,8,,0.8,25,50,,"Revised by Supp 11"
,"0 2 9","AC Load (Engine)                        ","%        ",256,8,,1,100,200,,
,"0 3 7","Lateral Center of Gravity","% MAC",131.072,17,,0.01,100,200,,
,"0 5 6","Target Airspeed","Knots    ",512,11,,0.25,100,200,,
,"0 6 0","Target Airspeed","Knots    ",512,11,,0.25,100,200,,
,"1 1 4","Zero Fuel Center of Gravity","Percent",163.84,14,,0.01,100,200,,
,,,,,,,,,,,
"1 0 0","0 0 1","Selected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,06/27/13
,"0 0 2","Selected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 1 1","Selected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 2 0","Sleected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 2 9","AC Load (Alt. Source)                   ","%        ",128,8,,1,100,200,,
,"0 5 6","Selected Course #1","Deg/180  ","?180",12,,0.05,167,333,,
,"0 6 0","Selected Course #1","Deg/180  ","?180",12,,0.05,167,333,,
,"0 3 7","Gross Weight (Kilogram)                 ","Kilograms",655360,15,,20,100,200,,
,"0 A 1","Selected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 B 1","Selected Course #1                      ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 B B","Outboard Flaps - PDU                    ","Deg/180  ","?180",12,,0.05,20,100,,
,,,,,,,,,,,
"1 0 1","0 0 2","Selected Heading                        ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 0 B","HDOP","N/A",1024,15,,0.031,200,1200,,
,"0 2 0","Selected Heading                        ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 2 5","Selected Heading","Deg/180","?180",12,,0.05,125,250,,
,"0 2 9","DC Current (TRU)                        ","Amperes  ",256,8,,1,100,200,,
,"0 5 A","FQIC","Lbs","4-65532",14,,4,900,1100,,
,"0 A 1","Selected Heading                        ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 B B","Inboard Flaps - PDU                     ","Deg/180  ","?180",12,,0.05,20,100,,
,"1 1 4","C/G Target","%",164,8,,0.01,100,200,,
,,,,,,,,,,,
"1 0 2","0 0 2","Selected Altitude                       ","Feet     ",65536,16,,1,100,200,,06/27/13
,"0 0 B","VDOP","N/A",1024,15,,0.031,200,1200,,
,"0 2 0","Selected Altitude                       ","Feet     ",65536,16,,1,100,200,,
,"0 2 9","DC Current (Battery)                    ","Amperes  ",256,8,,1,100,200,,
,"0 5 6","Selected Altitude","Feet     ",65536,16,,1,100,200,,
,"0 6 0","Selected Altitude","Feet     ",65536,16,,1,100,200,,
,"0 A 1","Selected Altitude                       ","Feet     ",65536,16,,1,100,200,,
,,,,,,,,,,,
"1 0 3","0 0 1","Selected Airspeed                       ","Knots    ",512,11,,0.25,100,200,,06/27/13
,"0 0 2","Selected Airspeed                       ","Knots    ",512,11,,0.25,100,200,,
,"0 0 3","Selected Airspeed                       ","Knots    ",512,11,,0.25,100,200,,
,"0 0 B","GNSS Track Angle","Deg","?108",15,,0.0055,200,1200,,
,"0 1 B","Left/PDU Flap                           ","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 2 0","Selected Airspeed                       ","Knots    ",512,11,,0.25,100,200,,
,"0 2 9","DC Voltage (TRU)                        ","Volts    ",128,9,,0.25,100,200,,
,"0 5 6","Selected Airspeed","Knots    ",512,11,,0.25,100,200,,
,"0 6 0","Selected Airspeed","Knots    ",512,11,,0.25,100,200,,
,"0 A 1","Selected Airspeed                       ","Knots    ",512,11,,0.25,100,200,,
,"0 B B","Left Outboard Flap Position             ","Deg/180  ","?180",12,,0.05,20,100,,
,,,,,,,,,,,
"1 0 4","0 0 1","Selected Vertical Speed                 ","Ft/Min   ",16384,10,"UP",16,100,200,,06/27/13
,"0 0 2","Selected Vertical Speed                 ","Ft/Min   ",16384,10,"UP",16,100,200,,
,"0 1 B","Right/PDU Flap                          ","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 2 0","Selected Vertical Speed                 ","Ft/Min   ",16384,10,"UP",16,100,200,,
,"0 2 9","DC Voltage (Battery)                    ","Volts    ",128,9,,0.25,100,200,,
,"0 2 B","Selected Vertical Speed                 ","Ft/Min   ",16384,14,"UP",1,100,200,,
,"0 5 6","Selected Vertical Speed","Ft/Min   ",16384,10,"UP",16,100,200,,
,"0 6 0","Selected Vertical Speed","Ft/Min   ",16384,10,"UP",16,100,200,,
,"0 A 1","Selected Vertical Speed                 ","Ft/Min   ",16384,10,"UP",16,100,200,,
,"0 B B","Right Outboard Flap Position            ","Deg/180  ","?180",12,,0.05,20,100,,
,,,,,,,,,,,
"1 0 5","0 0 2","Selected Runway Heading                 ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 1 0","Selected Runway Heading                 ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 1 B","Left/PDU Slat                           ","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 2 0","Selected Runway Heading                 ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 2 9","Oil Temp. Input (IDG/CSD) ","Deg C    ",2048,12,,0.5,100,200,,
,"0 5 5","Selected Runway Heading","Deg","?180",11,,0.1,,,,
,"0 5 6","Selected Runway Heading","Deg/180  ","?180",11,,0.1,167,333,,
,"0 6 0","Selected Runway Heading","Deg/180  ","?180",11,,0.1,167,333,,
,"0 A 1","Selected Runway Heading                 ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 B 0","Selected Runway Heading                 ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 B B","Left Inboard Flap Position              ","Deg/180  ","?180",12,,0.05,20,100,,
,,,,,,,,,,,
"1 0 6","0 0 2","Selected Mach                           ","Mach   ",4096,12,,1,31.3,200,,06/27/13
,"0 1 B","Right/PDU Slat                          ","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 2 0","Selected Mach                           ","Mach   ",4096,12,,0.5,100,200,,
,"0 2 9","Oil Temp. Input (IDG/CSD)         ","Deg C    ",2048,12,,0.5,100,200,,
,"0 5 6","Selected Mach","Mach   ",4096,12,,1,31.3,200,,
,"0 6 0","Selected Mach","Mach   ",4096,12,,1,31.3,200,,
,"0 A 1","Selected Mach                           ","Mach   ",4096,12,,1,31.3,62.5,,
,"0 B B","Right Inboard Flap Position             ","Deg/180  ","?180",12,,0.05,20,100,,
,,,,,,,,,,,
"1 0 7","0 0 2","Selected Cruise Altitude            ","Feet     ",65536,16,"UP",1,100,200,,
,"0 1 B","Flap/Slat Lever                     ","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 B B","Flap Lever Position-median value","Deg/180  ","?180",18,,0.000687,100,200,,
,"0 3 7","Long. Zero Fuel Ctr of Gravity","% MAC",163.84,14,,0.01,100,200,,
,"0 5 6","Selected Cruise Altitude","Feet     ",65536,16,"UP",1,100,200,,
,"0 6 0","Selected Cruise Altitude","Feet     ",65536,16,"UP",1,100,200,,
,,,,,,,,,,,
"1 1 0","0 0 1","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 0 2","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 0 B","GNSS Latitude","Deg","?180",20,,0.000172,200,1200,,
,"0 1 0","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 1 1","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 2 0","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 A 1","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 B 1","Selected Course #2                  ","Deg/180  ","?180",12,,0.05,167,333,,
,"0 B B","Flap Lever Position - Center        ","Deg/180  ",180,18,,0.000687,80,160,,
,,,,,,,,,,,
"1 1 1","0 0 B","GNSS Longitude","Deg","?180",20,,0.000172,200,1200,,
,,,,,,,,,,,
"1 1 2","0 0 2","Runway Length                       ","Feet     ",20480,11,,10,250,500,,
,"0 0 B","GNSS Ground Speed","Knots",4096,15,,0.125,200,1200,,
,"0 A 1","Selected EPR                        ","         ",4,12,,0.001,100,200,,
,"0 A 1","Selected N1                         ","RPM      ",4096,12,,1,100,200,,
,"0 B B","Flap Lever Position - Left          ","Deg/180  ","?180",18,,0.000687,80,160,,
,,,,,,,,,,,
"1 1 4","0 0 2","Desired Track                       ","Deg/180  ","?180",12,,0.05,100,200,,06/27/13
,"0 2 9","Brake Temp. (Left Inner L/G)  ","Deg C    ",2048,11,,1,100,200,,
,"0 2 F","Ambient Pressure                    ","PSIA     ",32,14,,0.002,100,200,,
,"0 3 F","Pamb Sensor                         ","PSIA     ",32,14,,0.002,100,200,,
,"0 5 6","Desired Track","Deg/180  ","?180",12,,0.05,100,200,,
,"0 6 0","Desired Track","Deg/180  ","?180",12,,0.05,100,200,,
,"0 B B","Flap Lever Position - Right         ","Deg/180  ","?180",18,,0.000687,80,160,,
,"0 C C","Wheel Torque Output                 ","Lb./Ft.  ",16384,12,,4,50,100,,"No. 5 to 8 in SDI"
,"1 0 A","Selected Ambient Static Pressure    ","PSIA     ","1.5-20.0",11,,0.016,100,500,,
,"1 0 B","Selected Ambient Static Pressure    ","PSIA     ","1.5-20.0",11,,0.016,100,500,,
,"1 3 A","Ambient Pressure","PSIA",32,14,,0.002,100,200,,
,,,,,,,,,,,
"1 1 5","0 0 2","Waypoint Bearing                    ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 2 9","Brake Temp. (Left Outer L/G)  ","Deg C    ",2048,11,,1,100,200,,
,"0 2 F","Fuel Temperature                    ","Deg C    ",512,11,,0.25,100,200,,
,"0 3 F","Fuel Temperature                    ","Deg C    ",512,11,,0.25,100,200,,
,"0 5 6","Waypoint Bearing","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 6 0","Waypoint Bearing","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 B C","Fuel Temperature                    ","Deg C    ",256,8,,1,500,1000,,
,"0 C C","Wheel Torque Output                 ","Lb./Ft.  ",16384,12,,4,50,100,,"No. 1 to 4 in SDI – 6-26"
,,,,,,,,,,,
"1 1 6","0 0 2","Cross Track Distance                ","N.M.     ",128,15,,0.004,31.3,62.5,,06/27/13
,"0 0 B","Horizontal GLS Deviation Rectilinear","Feet",24000,18,,0.00915,,100,,
,"0 2 9","Brake Temp. (Right Inner L/G) ","Deg C    ",2048,11,,1,100,200,,
,"0 5 5","Horizontal GLS Deviation Rectilinear","Feet",24000,18,,0.00915,,100,,
,"0 5 6","Cross Track Deviation","N.M.     ",128,15,,0.004,31.3,62.5,,
,"0 6 0","Cross Track Deviation","N.M.     ",128,15,,0.004,31.3,62.5,,
,"0 C C","Wheel Torque Output                 ","Lb./Ft.  ",16384,12,,4,50,100,,"No. 9 to 12 in SDI – 6-26"
,,,,,,,,,,,
"1 1 7","0 0 2","Vertical Deviation                  ","Feet     ",2048,11,,1,31.3,62.5,,06/27/13
,"0 0 B","Vertical GLS Deviation Rectilinear","Feet",1024,14,,0.0625,,100,,
,"0 2 9","Brake Temp. (Right Outer L/G) ","Deg C    ",2048,11,,1,100,200,,
,"0 5 5","Vertical GLS Deviation Rectilinear","Feet",1024,14,,0.0625,,100,,
,"0 5 6","Vertical Deviation","Feet     ",2048,11,,1,31.3,62.5,,
,"0 6 0","Vertical Deviation","Feet     ",2048,11,,1,31.3,62.5,,
,"0 C C","Wheel Torque Output                 ","Lb./Ft.  ",16384,12,,4,50,100,,"No. 13 to 16 in SDI – 6-26"
,,,,,,,,,,,
"1 2 0","0 0 2","Range to Altitude                   ","N.M.     ",512,15,,0.016,25,50,,
,"0 0 B","GNSS Latitude Fine","Deg",0.000172,11,,"8.38-E-8",200,1200,,
,"0 5 6","Range to Altitude","N.M.     ",512,15,,0.016,25,50,,
,"0 6 0","Range to Altitude","N.M.     ",512,15,,0.016,25,50,,
,,,,,,,,,,,
"1 2 1","0 0 2","Horizontal Command Signal           ","Deg/180  ","?180",14,,0.01,50,100,,
,"0 0 B","GNSS Longitude Fine","Degrees",0.000172,11,,"8.38-E-8 o",200,1200,,
,"0 2 5","Pitch Limit","Deg/180","?180",14,,0.01,125,250,,
,"0 5 6","Horizontal Command Signal","Deg/180  ","?180",14,,0.01,50,100,,
,"0 6 0","Horizontal Command Signal","Deg/180  ","?180",14,,0.01,50,100,,
,,,,,,,,,,,
"1 2 2","0 0 2","Vertical Command Signal             ","Deg/180  ","?180",12,,0.05,500,100,,
,"0 5 6","Vertical Command Signal","Deg/180  ","?180",12,,0.05,500,100,,
,"0 6 0 ","Vertical Command Signal","Deg/180  ","?180",12,,0.05,500,100,,
,,,,,,,,,,,
"1 2 3","0 0 2","Throttle Command                    ","Deg/Sec  ",256,18,,0.001,50,100,,
,,,,,,,,,,,
"1 2 4","0 A 5","Client Device for GNSS Receiver","Meters",8192,13,,1,,200,,06/01/49
,1.00E+002,"Horizontal Alarm Limit","Meters","0-8190",13,,1,800,1200,,
,,,,,,,,,,,
"1 2 6","0 0 2","Vertical Deviation (wide)           ","Feet     ",32768,15,"above sel alt",1,31.3,62.5,,
,"0 5 6","Vertical Deviation","Feet     ",32768,15,"above sel alt",1,31.3,62.5,,
,"0 6 0","Vertical Deviation","Feet     ",32768,15,"above sel alt",1,31.3,62.5,,
,,,,,,,,,,,
"1 2 7","0 0 2","Selected Landing Altitude           ","Feet     ",65536,16,"UP",1,100,200,,
,"0 1 B","Slat Angle                          ","Deg/180  ","?180",12,,0.05,100,200,,06/11/13
,"0 3 3","P14                                 ","PSIA     ",32,14,,0.002,100,200,,
,"1 0 A","Fan Discharge Static Pressure       ","PSIA     ","1.5 - 30.0",11,,0.016,100,500,,
,"1 0 B","Fan Discharge Static Pressure       ","PSIA     ","1.5 - 30.0",11,,0.016,100,500,,
,1.00E+002,"Vertical Alarm Limit","Meters","0-255",8,,1,800,1200,,06/01/50
,,,,,,,,,,,
"1 3 0","0 0 B","Aut Horiz Integ Limit","N.M.",16,17,,1.20E-004,200,1200,,
,"0 1 A","Fan Inlet Total Temperature         ","Deg C    ",128,11,,0.06,100,200,,
,"0 1 C","Fan Inlet Total Temperature         ","Deg C    ",128,11,,0.06,100,200,,
,"0 2 F","Fan Inlet Total Temperature         ","Deg C    ",128,11,,0.06,100,200,,
,"0 3 5","Intruder Range                      ","         ",,,,,,500,,"6-21 and  ARINC 735"
,"0 3 F","Fan Inlet Total Temperature         ","Deg C    ",128,11,,0.06,100,200,,
,"1 0 A","Selected Total Air Temperature      ","Deg C    ","-80 to 90",10,,0.125,100,500,,
,"1 0 B","Selected Total Air Temperature      ","Deg C    ","-80 to 90",10,,0.125,100,500,,
,"1 3 A","Inlet Temperature","Deg C",128,11,,0.0625,100,200,,
,,,,,,,,,,,
"1 3 1","0 1 A","Fan Inlet Total Pressure            ","PSIA     ",32,13,,0.004,100,200,,
,"0 1 C","Fan Inlet Total Pressure            ","PSIA     ",32,13,,0.004,100,200,,
,"0 2 D","Fan Inlet Total Pressure            ","PSIA     ",32,13,,0.004,100,200,,
,"0 2 F","Fan Inlet Total Pressure            ","PSIA     ",32,13,,0.004,100,200,,
,"0 3 3","Fan Inlet Total Pressure            ","PSIA     ",32,13,,0.004,100,200,,
,"0 3 5","Intruder Altitude                   ","         ",,,,,,500,,"6-22 and  ARINC 735"
,"1 3 A","Inlet Pressure","PSIA",32,13,,0.004,100,200,,
"1 3 2","0 1 A","Exhaust Gas Total Pressure          ","PSIA     ",32,13,,0.004,100,200,,
,"0 1 C","Exhaust Gas Total Pressure          ","PSIA     ",32,13,,0.004,100,200,,
,"0 3 3","Exhaust Gas Total Pressure          ","PSIA     ",32,14,,0.002,100,250,,
,"0 3 5","Intruder Bearing                    ",,,,,,,500,,"6-23 and  ARINC 735"
,,,,,,,,,,,
"1 3 3","0 0 B","Aut Vert Integ Limit","Feet",32768,18,,0.125,200,1200,,
,"0 1 A","Thrust Lever Angle                  ","Deg/180  ","?180",12,,0.05,100,250,,
,"0 2 F","Thrust Lever Angle                  ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 3 F","Thrust Lever Angle                  ","Deg/180  ","?180",12,,0.05,25,50,,
,"1 0 A","Selected Throttle Lever Angle       ","Deg      ",90,11,,0.088,31.3,100,,
,"1 0 B","Selected Throttle Lever Angle       ","Deg      ",90,11,,0.088,31.3,100,,
,,,,,,,,,,,
"1 3 4","0 1 C","Power Lever Angle                   ","Deg/180  ","?180",12,,0.05,100,200,,
,"1 0 A","Throttle Lever Angle                ","Deg      ","?128",11,,0.088,500,1000,,
,"1 0 B","Throttle Lever Angle                ","Deg      ","?128",11,,0.088,500,1000,,
,"1 3 A","Throttle Lever Angle","Deg/180","?180",12,,0.05,25,50,,
,,,,,,,,,,,
"1 3 5","0 1 C","Engine Vibration #1                 ","in/sec   ",8,12,,0.002,100,200,,
,"0 2 9","Engine Fan Vibration                ","% FS      ",128,7,,1,100,200,,
,,,,,,,,,,,
"1 3 6","0 0 B","Vertical Figure of Merit","Feet",32768,18,,0.125,200,1200,,
,"0 1 C","Engine Vibration #2                 ","in/sec   ",8,12,,0.002,100,200,,
,,,,,,,,,,,
"1 3 7","0 1 B","Flap Angle                          ","Deg/180  ","?180",12,,0.05,100,200,,06/11/13
,"0 2 A","Flap Angle                          ","Deg/180  ","?180",12,,0.05,100,200,,06/11/13
,"0 2 F","Thrust Reverser Position Feedback   ","%        ",128,12,,0.03,100,200,,
,"0 3 F","Thrust Reverser Position Feedback   ","%        ",128,12,,0.03,100,200,,
,"1 0 A","Selected Thrust Reverser Position   ","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 0 B","Selected Thrust Reverser Position   ","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 4 0","Flap Angle","Deg",180,12,,0.05,62.5,200,,06/11/13
,,,,,,,,,,,
"1 4 0","0 0 1","Flight Director - Roll              ","Deg/180  ","?180",12,,0.05,50,100,,06/27/13
,"0 0 B","UTC Fine","Seconds",1,20,,"0.953674?s",200,1200,,
,"0 2 5","Flight Director - Roll              ","Deg/180  ","?180",10,,0.02,125,250,,
,,,,,,,,,,,
"1 4 1","0 0 1","Flight Director - Pitch                ","Deg/180  ","?180",12,,0.05,50,100,,
,"0 0 B","UTC Fine Fractions","Seconds","0.9536743?s",10,,"0.931225ns",200,1200,,
,"0 2 5","Flight Director - Pitch                ","Deg/180  ","?180",10,,0.02,125,250,,
,,,,,,,,,,,
"1 4 2","0 0 2","Flight Director - Fast/Slow            ","Knots    ",32,12,,0.008,31.3,62.5,,06/27/13
,"0 0 3","Flight Director - Fast/Slow            ","Knots    ",32,12,,0.008,31.3,62.5,,
,"0 2 5","Flight Director - Fast/Slow            ","Knots    ",32,8,,0.125,125,250,,
,,,,,,,,,,,
"1 4 3","0 0 1","Flight Director - Yaw                  ","Deg/180  ","?180",12,,0.05,50,100,,
,"0 4 1","HPA Command Word                       ","         ",,,,,,,,"See ARINC 741"
,"2 4 1","HPA Response Word                      ","         ",,,,,,,,"See ARINC 741"
,,,,,,,,,,,
"1 4 4","0 2 B","Altitude Error                         ","Feet     ",8192,14,"Above Cmd Alt",1,25,50,,
,"0 4 1","ACU/BSU Control Word                   ","         ",,,,,,,,"See ARINC 741"
,"3 4 1","ACU/BSU Response Word                  ","         ",,,,,,,,"See ARINC 741"
,,,,,,,,,,,
